country,iso2,iso3,group,component,source,series_id,source_adjustment,adjustment_method,date,real_value
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1989-01-01,115182
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1989-04-01,116337
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1989-07-01,117297
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1989-10-01,118134
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1990-01-01,119446
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1990-04-01,119991
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1990-07-01,120195
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1990-10-01,119511
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1991-01-01,119687
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1991-04-01,120208
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1991-07-01,121665
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1991-10-01,121808
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1992-01-01,123222
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1992-04-01,124267
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1992-07-01,124547
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1992-10-01,125010
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1993-01-01,124861
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1993-04-01,125895
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1993-07-01,125609
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1993-10-01,127736
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1994-01-01,128525
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1994-04-01,129224
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1994-07-01,131663
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1994-10-01,132413
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1995-01-01,133939
Australia,AU,AUS,Asia-Pacific,Consumption,IMF IFS via DBnomics,Q.AU.NCP_R_SA_XDC,SA,Source seasonally adjusted,1995-04-01,135597
